STATE,RATE-2005,RATE-2014,Total Laws 2014
AL,16,16.9,10
AK,17.5,19.2,3
AZ,16.1,13.5,8
AR,15.7,16.6,11
CA,9.5,7.4,100
CO,11.6,12.2,30
CT,5.3,5,85
DE,8.8,11.1,38
FL,10,11.5,21
GA,12.1,13.7,6
HI,2.1,2.6,78
ID,14.1,13.2,5
IL,8,9,65
IN,11.2,12.4,11
IA,6.7,7.5,25
KS,9.3,11.3,8
KY,13,13.9,7
LA,18.5,19,12
ME,7.8,9.4,11
MD,11.9,9,63
MA,3.4,3.2,101
MI,10.8,11.1,20
MN,7,6.6,39
MS,16,18.3,5
MO,12.9,15.3,8
MT,16.9,16.1,4
NE,7.7,9.5,22
NV,16.1,14.8,11
NH,6.6,8.7,10
NJ,5.2,5.3,67
NM,13.9,16,10
NY,5.3,4.2,76
NC,12.8,11.8,30
ND,8.8,12.3,14
OH,9.6,10.3,15
OK,13.2,15.7,9
OR,10.7,11.7,24
PA,10.8,10.5,37
RI,3.6,3,43
SC,13.8,15.5,12
SD,10.2,10.3,5
TN,16,15.1,24
TX,11.1,10.7,20
UT,10.1,12.3,11
VT,6.8,10.3,3
VA,11.5,10.3,12
WA,8.8,9.7,41
WV,13.8,14.6,24
WI,8.5,8.2,24
WY,13.4,16.2,6